Archeops,3,Pokemon,SIT,147
Archeops,1,Pokemon,SWSH,272
Lugia V,2,Pokemon,SIT,138
Lugia V,1,Pokemon,SIT,185
Lugia VSTAR,3,Pokemon,SIT,139
Minccino,2,Pokemon,TEF,182
Cinccino,2,Pokemon,TEF,183
Lumineon V,1,Pokemon,BRS,156
Bloodmoon Ursaluna ex,1,Pokemon,TWM,202
Iron Hands ex,1,Pokemon,PAR,70
Flutter Mane,1,Pokemon,SVP,97
Regigigas,1,Pokemon,PRE,86
Wellspring Mask Ogerpon ex,1,Pokemon,TWM,194
Carmine,4,Supporter,,
Boss's Orders,3,Supporter,,
Iono,3,Supporter,,
Jacq,1,Supporter,,
Serena,1,Supporter,,
Ultra Ball,4,Item,,
Capturing Aroma,4,Item,,
Great Ball,2,Item,,
Dusk Ball,2,Item,,
Gift Energy,4,Energy,,
Jet Energy,4,Energy,,
Double Turbo Energy,3,Energy,,
Mist Energy,3,Energy,,
V-Guard Energy,1,Energy,,
Legacy Energy - ACESPEC,1,Energy,,
