Poltchageist,1,Pokemon,TWM,20
Poltchageist,3,Pokemon,TWM,21
Sinistcha,1,Pokemon,TWM,22
Sinistcha ex,2,Pokemon,TWM,23
Sinistcha ex,1,Pokemon,TWM,189
Teal Mask Ogerpon,1,Pokemon,TWM,24
Teal Mask Ogerpon,1,Pokemon,SVP,123
Teal Mask Ogerpon,1,Pokemon,SVP,166
Terapagos,1,Pokemon,SSP,161
Wiglett,2,Pokemon,TEF,47
Wugtrio ex,1,Pokemon,TEF,60
Roselia,2,Pokemon,TEF,8
Maximum Belt - ACESPEC,1,Tool,,
Earthen Vessel,2,Item,,
Ultra Ball,2,Item,,
Morty's Conviction,2,Supporter,,
Raifort,2,Supporter,,
Nemona,2,Supporter,,
Norman,2,Supporter,,
Switch,2,Item,,
Jacq,2,Supporter,,
Katy,2,Supporter,,
Cyrano,1,Supporter,,
Arven,1,Supporter,,
Ciphermaniac's Codebreaking,1,Supporter,,
Explorer's Guidance,1,Supporter,,
Tera Orb,1,Item,,
Energy Search,2,Item,,
Basic Water Energy,2,Energy,,
Basic Grass Energy,15,Energy,,
