Raging Bolt ex,3,Pokemon,TEF,196
Raging Bolt ex,1,Pokemon,SCR,111
Teal Mask Ogerpon ex,4,Pokemon,TWM,25
Fezandipiti ex,1,Pokemon,SFA,84
Latias ex,1,Pokemon,SSP,76
Squawkabilly ex,1,Pokemon,PAL,169
Slither Wing,1,Pokemon,PAR,203
Fan Rotom,1,Pokemon,SCR,118
Fan Rotom,1,Pokemon,PRE,85
Hoothoot,3,Pokemon,SCR,114
Noctowl,2,Pokemon,SCR,115
Boss's Orders,1,Supporter,,
Crispin,1,Supporter,,
Professor Sada's Vitality,4,Supporter,,
Judge,2,Supporter,,
Night Stretcher,2,Item,,
Prime Catcher - ACESPEC,1,Item,,
Nest Ball,4,Item,,
Ultra Ball,4,Item,,
Earthen Vessel,4,Item,,
Energy Retrieval,1,Item,,
Pal Pad,1,Item,,
Superior Energy Retrieval,1,Item,,
Area Zero Underdepths,2,Stadium,,
Jamming Tower,1,Stadium,,
Basic Grass Energy,6,Energy,,
Basic Lightning Energy,3,Energy,,
Basic Fighting Energy,3,Energy,,
