Charmander,3,Pokemon,PAF,7
Charmeleon,1,Pokemon,PAF,8
Charizard ex,3,Pokemon,OBF,125
Pidgey,2,Pokemon,MEW,16
Pidgeotto,1,Pokemon,MEW,17
Pidgeot ex,2,Pokemon,OBF,164
Froakie,2,Pokemon,OBF,56
Frogadier,1,Pokemon,TWM,57
Greninja ex,1,Pokemon,TWM,106
Lumineon V,1,Pokemon,BRS,40
Fezandipiti ex,1,Pokemon,SFA,38
Buddy-Buddy Poffin,4,Item,,
Counter Catcher,1,Item,,
Switch,1,Item,,
Professor's Research,2,Supporter,,
Arven,2,Supporter,,
Ultra Ball,3,Item,,
Defiance Band,1,Tool,,
Rare Candy,4,Item,,
Night Stretcher,1,Item,,
Professor Turo’s Scenario,1,Supporter,,
Grand Tree - ACESPEC,1,Stadium,,
Crispin,2,Supporter,,
Energy Search,1,Item,,
Iono,3,Supporter,,
Briar,1,Supporter,,
Super Rod,1,Item,,
Boss's Orders,2,Supporter,,
Colress's Tenacity,1,Supporter,,
Tera Orb,2,Item,,
Basic Fire Energy,5,Energy,,
Basic Water Energy,2,Energy,,
Boomerang Energy,2,Energy,,
