Archeops,4,Pokemon,SIT,147
Lugia V,3,Pokemon,SIT,138
Lugia VSTAR,3,Pokemon,SIT,139
Minccino,2,Pokemon,TEF,182
Cinccino,2,Pokemon,TEF,183
Lumineon V,1,Pokemon,SWSH,250
Lumineon V,1,Pokemon,CRZ,GG39
Squawkabilly ex,1,Pokemon,PAL,264
Bloodmoon Ursaluna ex,1,Pokemon,TWM,141
Iron Hands ex,1,Pokemon,PAR,248
Regigigas,1,Pokemon,PRE,86
Wellspring Mask Ogerpon ex,1,Pokemon,TWM,64
Carmine,1,Supporter,,
Boss's Orders,4,Supporter,,
Professor's Research,3,Supporter,,
Iono,2,Supporter,,
Jacq,1,Supporter,,
Ultra Ball,4,Item,,
Capturing Aroma,4,Item,,
Nest Ball,2,Item,,
Jamming Tower,2,Stadium,,
Gift Energy,4,Energy,,
Jet Energy,4,Energy,,
Double Turbo Energy,4,Energy,,
Mist Energy,3,Energy,,
Legacy Energy - ACESPEC,1,Energy,,
