Gholdengo ex,3,Pokemon,PAR,252
Gholdengo ex,1,Pokemon,PAR,231
Dreepy,2,Pokemon,TWM,128
Drakloak,2,Pokemon,TWM,129
Dragapult ex,1,Pokemon,TWM,200
Munkidori,1,Pokemon,SFA,72
Fezandipiti ex,1,Pokemon,SFA,92
Gimmighoul,1,Pokemon,PAR,198
Gimmighoul,3,Pokemon,SSP,97
Boss's Orders,2,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Counter Catcher,1,Item,,
Earthen Vessel,1,Item,,
Switch,1,Item,,
Pokegear 3.0,1,Item,,
Ultra Ball,2,Item,,
Arven,4,Supporter,,
Night Stretcher,2,Item,,
Nest Ball,2,Item,,
Technical Machine: Evolution,2,Tool,,
Superior Energy Retrieval,4,Item,,
Energy Search Pro - ACESPEC,1,Item,,
Iono,2,Supporter,,
Crispin,1,Supporter,,
Ciphermaniac's Codebreaking,2,Supporter,,
Jamming Tower,2,Stadium,,
Basic Metal Energy,3,Energy,,
Basic Fire Energy,1,Energy,,
Basic Lightning Energy,1,Energy,,
Basic Water Energy,1,Energy,,
Basic Fighting Energy,1,Energy,,
Basic Grass Energy,1,Energy,,
Basic Psychic Energy,2,Energy,,
Basic Darkness Energy,1,Energy,,
