Squawkabilly ex,1,Pokemon,PAF,223
Raging Bolt ex,4,Pokemon,TEF,196
Fezandipiti ex,1,Pokemon,SFA,84
Teal Mask Ogerpon ex,3,Pokemon,TWM,190
Hitmonchan,1,Pokemon,MEW,107
Radiant Greninja,1,Pokemon,ASR,46
Slither Wing,1,Pokemon,PAR,203
Crispin,1,Supporter,,
Professor Sada's Vitality,4,Supporter,,
Boss's Orders,1,Supporter,,
Iono,1,Supporter,,
Switch Cart,3,Item,,
Lost Vacuum,1,Item,,
Energy Retrieval,3,Items,,
Nest Ball,4,Item,,
Earthen Vessel,4,Item,,
Prime Catcher - ACESPEC,1,Item,,
Pokemon Catcher,3,Item,,
Pal Pad,1,Item,,
Pokegear 3.0,3,Item,,
Night Stretcher,2,Item,,
Ultra Ball,1,Item,,
Bravery Charm,2,Tool,,
Pokestop,2,Stadium,,
Basic Fighting Energy,3,Energy,,
Basic Grass Energy,5,Energy,,
Basic Lightning Energy,3,Energy,,
