Ralts,3,Pokemon,ASR,60
Ralts,1,Pokemon,SIT,67
Kirlia,4,Pokemon,SIT,68
Gardevoir ex,2,Pokemon,SVI,228
Munkidori,2,Pokemon,TWM,95
Scream Tail,1,Pokemon,SVP,65
Flutter Mane,1,Pokemon,TEF,78
Drifloon,1,Pokemon,SVI,89
Budew,1,Pokemon,PRE,4
Manaphy,1,Pokemon,BRS,41
Radiant Greninja,1,Pokemon,ASR,46
Arven,4,Supporter,,
Iono,4,Supporter,,
Boss's Orders,1,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Ultra Ball,2,Item,,
Super Rod,2,Item,,
Earthen Vessel,2,Item,,
Counter Catcher,2,Item,,
Night Stretcher,1,Item,,
Enchanced Hammer,1,Item,,
Unfair Stamp - ACESPEC,1,Item,,
Nest Ball,1,Item,,
Hisuian Heavy Ball,1,Item,,
Technical Machine: Evolution,2,Tool,,
Bravery Charm,2,Tool,,
Artazon,1,Stadium,,
Basic Psychic Energy,7,Energy,,
Basic Darkness Energy,3,Energy,,
