Ralts,4,Pokémon,ASR,60
Kirlia,4,Pokémon,PR-SWSH,271
Gardevoir ex,2,Pokémon,PAF,223
Munkidori,3,Pokémon,SFA,72
Flutter Mane,1,Pokémon,SVP,97
Scream Tail,1,Pokémon,SVP,65
Drifloon,1,Pokémon,PAF,155
Radiant Greninja,1,Pokémon,ASR,46
Budew,1,Pokémon,PRE,4
Spiritomb,1,Pokémon,PAF,158
Mawile,1,Pokémon,LOR,71
Arven,4,Supporter,,
Professor Turo's Scenario,2,Supporter,,
Boss's Orders,1,Supporter,,
Iono,3,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Ultra Ball,2,Item,,
Nest Ball,1,Item,,
Hisuian Heavy Ball,1,Item,,
Earthen Vessel,2,Item,,
Counter Catcher,2,Item,,
Super Rod,1,Item,,
Night Stretcher,2,Item,,
Technical Machine: Evolution,2,Tool,,
Bravery Charm,1,Tool,,
Hero's Cape - ACESPEC,1,Tool,,
Artazon,1,Stadium,,
Basic Psychic Energy,7,Energy,,
Basic Darkness Energy,3,Energy,,
