Drakloak,3,Pokemon,TWM,129
Dusclops,1,Pokemon,PRE,36
Dreepy,3,Pokemon,TWM,128
Duskull,1,Pokemon,SFA,18
Duskull,1,Pokemon,PRE,35
Fezandipiti ex,1,Pokemon,SFA,38
Drakloak,1,Pokemon,PRE,72
Budew,1,Pokemon,PRE,4
Dreepy,1,Pokemon,PRE,71
Dusknoir,1,Pokemon,PRE,37
Dragapult ex,3,Pokemon,TWM,130
Radiant Alakazam,1,Pokemon,SIT,59
Lumineon V,1,Pokemon,CRZ,GG39
Dusknoir,1,Pokemon,SFA,20
Boss's Orders,2,Supporter,,
lono,3,Supporter,,
Arven,4,Supporter,,
Lance,2,Supporter,,
Crispin,1,Supporter,,
Buddy-Buddy Poffin,4,Item,,
Rescue Board,1,Tool,,
Rare Candy,3,Item,,
Forest Seal Stone,1,Tool,,
Nest Ball,2,Item,,
Earthen Vessel,1,Item,,
Switch,1,Item,,
Night Stretcher,2,Item,,
Ultra Ball,2,Item,,
Counter Catcher,2,Item,,
Technical Machine: Evolution,1,Tool,,
Sparkling Crystal - ACESPEC,1,Tool,,
Temple of Sinnoh,1,Stadium,,
Basic Psychic Energy,3,Energy,,
Basic Fire Energy,3,Energy,,
