Archaludon ex,4,Pokémon,SSP,224
Duraludon,4,Pokémon,SCR,106
Relicanth,1,Pokémon,TEF,84
Budew,1,Pokémon,PRE,4
Fezandipiti ex,1,Pokémon,SFA,84
Radiant Greninja,1,Pokémon,ASR,46
Professor's Research,4,Supporter,,
Boss's Orders,4,Supporter,,
Iono,3,Supporter,,
Professor Turo's Scenario,3,Supporter,,
Adaman,1,Supporter,,
Black Belt's Training,1,Supporter,,
Night Stretcher,3,Item,,
Ultra Ball,3,Item,,
Nest Ball,4,Item,,
Earthen Vessel,3,Item,,
Pokegear 3.0,1,Item,,
Scoop Up Cyclone - ACESPEC,1,Item,,
Canceling Cologne,1,Item,,
Counter Catcher,1,Item,,
Pal Pad,1,Item,,
Vitality Band,1,Tool,,
Jamming Tower,1,Stadium,,
Lost City,2,Stadium,,
Basic Metal Energy,10,Energy,,
