Magnemite,3,Pokémon,SSP,58
Magneton,1,Pokémon,SVP,159
Magneton,1,Pokémon,SVP,153
Squawkabilly ex,2,Pokémon,PAL,169
Iron Hands ex,2,Pokémon,PAR,70
Miraidon ex,2,Pokémon,SVI,81
Raikou V,1,Pokémon,BRS,48
Fezandipiti ex,1,Pokémon,SFA,38
Arven,4,Supporter,,
Professor's Research,2,Supporter,,
Boss's Orders,2,Supporter,,
Iono,1,Supporter,,
Roxanne,1,Supporter,,
Electric Generator,4,Item,,
Deduction Kit,2,Item,,
Nest Ball,2,Item,,
Super Rod,2,Item,,
Ultra Ball,2,Item,,
Earthen Vessel,2,Item,,
Hisuian Heavy Ball,1,Item,,
Counter Catcher,1,Item,,
Night Stretcher,1,Item,,
Pokegear 3.0,1,Item,,
Secret Box - ACESPEC,1,Item,,
Future Booster Energy Capsule,2,Tool,,
Technical Machine: Evolution,1,Tool,,
Heavy Baton,1,Tool,,
Bravery Charm,1,Tool,,
Forest Seal Stone,1,Tool,,
Academy at Night,1,Stadium,,
Mist Energy,2,Energy,,
Basic Lightning Energy,9,Energy,,
