Ralts,1,Pokémon,SVI,211
Ralts,3,Pokémon,ASR,60
Kirlia,4,Pokémon,SIT,68
Gardevoir ex,2,Pokémon,PAF,29
Munkidori,2,Pokémon,TWM,95
Scream Tail,1,Pokémon,SVP,65
Drifloon,1,Pokémon,PAF,155
Flutter Mane,1,Pokémon,SVP,97
Mimikyu,1,Pokémon,SVP,75
Radiant Greninja,1,Pokémon,ASR,46
Manaphy,1,Pokémon,BRS,41
Arven,4,Supporter,,
Iono,3,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Boss's Orders,1,Supporter,,
Unfair Stamp - ACESPEC,1,Item,,
Buddy-Buddy Poffin,4,Item,,
Earthen Vessel,3,Item,,
Counter Catcher,2,Item,,
Super Rod,2,Item,,
Ultra Ball,2,Item,,
Nest Ball,2,Item,,
Hisuian Heavy Ball,1,Item,,
Bravery Charm,3,Tool,,
Technical Machine: Evolution,2,Tool,,
Artazon,2,Stadium,,
Basic Psychic Energy,7,Energy,,
Basic Darkness Energy,2,Energy,,
