Horsea,1,Pokémon,SFA,67
Horsea,2,Pokémon,SFA,10
Horsea,1,Pokémon,SVP,137
Seadra,1,Pokémon,SFA,11
Kingra ex,2,Pokémon,SVP,131
Froakie,2,Pokémon,OBF,56
Frogadier,2,Pokémon,OBF,57
Greninja ex,2,Pokémon,TWM,106
Frigibax,2,Pokémon,PAL,58
Arctibax,1,Pokémon,PAL,59
Baxcalibur,2,Pokémon,PAL,60
Radiant Greninja,1,Pokémon,ASR,48
Iono,1,Supporter,,
Jacq,2,Supporter,,
Irida,3,Supporter,,
Boss's Orders,2,Supporter,,
Lady,1,Supporter,,
Prime Catcher - ACESPEC,1,Item,,
Lost Vacuum,1,Item,,
Super Rod,1,Item,,
Switch,2,Item,,
Rare Candy,4,Item,,
Earthen Vessel,3,Item,,
Buddy-Buddy Poffin,3,Item,,
Superior Energy Retrieval,2,Item,,
Tera Orb,2,Item,,
Lake Acuity,1,Stadium,,
Basic Water Energy,12,Energy,,
