Scorbunny,4,Pokemon,SCR,26
Raboot,1,Pokemon,SCR,27
Cinderace ex,3,Pokemon,SCR,28
Pidgey,2,Pokemon,MEW,16
Pidgeot ex,1,Pokemon,OBF,164
Pidgeot ex,1,Pokemon,OBF,217
Cleffa,1,Pokemon,OBF,80
Rotom V,1,Pokemon,CRZ,45
Fezandipiti ex,1,Pokemon,SFA,38
Radiant Charizard,1,Pokemon,CRZ,20
Manaphy,1,Pokemon,BRS,41
Boss's Orders,2,Supporter,,
Arven,4,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Iono,2,Supporter,,
Crispin,2,Supporter,,
Rare Candy,4,Item,,
Buddy-Buddy Poffin,4,Item,,
Nest Ball,2,Item,,
Feather Ball,4,Item,,
Super Rod,1,Item,,
Counter Catcher,1,Item,,
Defiance Band,1,Tool,,
Forest Seal Stone,1,Tool,,
Sparkling Crystal - ACESPEC,1,Tool,,
Magma Basin,3,Stadium,,
Basic Fire Energy,4,Energy,,
Basic Darkness Energy,2,Energy,,
Basic Fighting Energy,2,Energy,,
Double Turbo Energy,2,Energy,,
