Radiant Greninja,1,Pokémon,ASR,46
Ceruledge ex,3,Pokémon,SSP,36
Fezandipiti ex,1,Pokémon,SFA,38
Squawkabilly ex,1,Pokémon,PAL,247
Fan Rotom,1,Pokémon,SCR,118
Manaphy,1,Pokémon,BRS,41
Charcadet,1,Pokémon,OBF,43
Charcadet,1,Pokémon,SSP,32
Charcadet,2,Pokémon,SCR,29
Boss's Orders,1,Supporter,,
Professor's Research,4,Supporter,,
Briar,1,Supporter,,
Carmine,3,Supporter,,
Buddy-Buddy Poffin,1,Item,,
Counter Catcher,1,Item,,
Earthen Vessel,3,Item,,
Nest Ball,3,Item,,
Night Stretcher,4,Item,,
Pal Pad,1,Item,,
Ultra Ball,4,Item,,
Academy at Night,1,Stadium,,
Jamming Tower,1,Stadium,,
Jet Energy,3,Energy,,
Mist Energy,2,Energy,,
Basic Fire Energy,11,Energy,,
Basic Water Energy,3,Energy,,
Legacy Energy - ACESPEC,1,Energy,,
