Bloodmoon Ursaluna ex,1,Pokemon,TWM,141
Palafin,3,Pokemon,TWM,60
Palafin ex,4,Pokemon,TWM,61
Finizen,4,Pokemon,TWM,59
Abra,2,Pokemon,TWM,80
Haunter,1,Pokemon,PAF,56
Haunter,1,Pokemon,TEF,103
Gastly,2,Pokemon,LOR,64
Gengar,2,Pokemon,PAF,57
Arven,1,Supporter,,
Irida,4,Supporter,,
Iono,4,Supporter,,
Kieran,2,Supporter,,
Lana's Aid,1,Supporter,,
Boss's Orders,2,Supporter,,
Ultra Ball,3,Item,,
Switch,3,Item,,
Buddy-Buddy Poffin,3,Item,,
Rare Candy,1,Item,,
Super Rod,1,Item,,
Energy Search,1,Item,,
Energy Retrieval,1,Item,,
Hero's Cape - ACESPEC,1,Tool,,
Luminous Energy,2,Energy,,
Basic Water Energy,10,Energy,,
Charmander,4,Pokemon,PAF,7
Charmeleon,2,Pokemon,PAF,8
Charizard ex,3,Pokemon,OBF,125
Pidgey,2,Pokemon,OBF,162
Pidgeot ex,2,Pokemon,OBF,164
Duskull,2,Pokemon,SFA,18
Dusclops,1,Pokemon,SFA,19
Dusknoir,1,Pokemon,SFA,20
Manaphy,1,Pokemon,BRS,41
Fezandipiti ex,1,Pokemon,SFA,38
Bidoof,1,Pokemon,BRS,120
Bibarel,1,Pokemon,BRS,121
Iono,3,Supporter,,
Arven,4,Supporter,,
Boss's Orders,2,Supporter,,
Professor's Research,2,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Prime Catcher - ACESPEC,1,Item,,
Buddy-Buddy Poffin,4,Item,,
Ultra Ball,4,Item,,
Super Rod,2,Item,,
Counter Catcher,1,Item,,
Canceling Cologne,1,Item,,
Switch,1,Item,,
Rare Candy,4,Item,,
Defiance Band,1,Tool,,
Artazon,2,Stadium,,
Basic Fire Energy,6,Energy,,
Charizard ex,3,Pokemon,OBF,125
Dusclops,1,Pokemon,SFA,19
Lumineon V,1,Pokemon,BRS,40
Dusknoir,1,Pokemon,SFA,70
Dusknoir,1,Pokemon,SFA,20
Pidgey,2,Pokemon,MEW,16
Fezandipiti ex,1,Pokemon,SFA,38
Pidgeot ex,2,Pokemon,OBF,164
Pidgeotto,2,Pokemon,MEW,17
Charmander,3,Pokemon,MEW,4
Charmeleon,2,Pokemon,PAF,8
Rotom V,1,Pokemon,LOR,58
Duskull,1,Pokemon,BRS,60
Professor Turo's Scenario,1,Supporter,,
Boss's Orders,2,Supporter,,
Thorton,1,Supporter,,
Briar,1,Supporter,,
Arven,4,Supporter,,
Iono,3,Supporter,,
Ultra Ball,3,Item,,
Rare Candy,3,Item,,
Super Rod,1,Item,,
Buddy-Buddy Poffin,4,Item,,
Hisuian Heavy Ball,1,Item,,
Counter Catcher,1,Item,,
Night Stretcher,1,Item,,
Lost Vacuum,1,Item,,
Switch,1,Item,,
Nest Ball,3,Item,,
Defiance Band,1,Tool,,
Forest Seal Stone,1,Tool,,
Grand Tree - ACESPEC,1,Stadium,,
Basic Fire Energy,5,Energy,,
Comfey,4,Pokemon,CRZ,GG14
Radiant Greninja,1,Pokemon,ASR,46
Sableye,1,Pokemon,LOR,70
Cramorant,1,Pokemon,LOR,60
Manaphy,1,Pokemon,CRZ,GG06
Bloodmoon Ursaluna ex,1,Pokemon,TWM,202
Pikachu ex,1,Pokemon,SSP,57
Colress's Experiment,4,Supporter,,
Boss's Orders,1,Suppoter,,
Roxanne,1,Suppoter,,
Buddy-buddy Poffin,4,Supporter,,
Mirage Gate,4,Item,,
Super Rod,4,Item,,
Nest Ball,4,Item,,
Switch Cart,4,Item,,
Switch,3,Item,,
Night Stretcher,1,Item,,
Lost Vacuum,2,Item,,
Prime Catcher - ACESPEC,1,Item,,
Hisuian Heavy Ball,1,Item,,
Canceling Cologne,1,Item,,
Pal Pad,1,Item,,
Rescue Board,1,Tool,,
Pokestop,3,Stadium,,
Basic Water Energy,3,Energy,,
Basic Metal Energy,2,Energy,,
Basic Lightning Energy,2,Energy,,
Basic Grass Energy,2,Energy,,
Basic Psychic Energy,1,Energy,,
Magnemite,3,Pokemon,SSP,58
Magneton,1,Pokemon,SVP,159
Magneton,1,Pokemon,SVP,153
Squawkabilly ex,2,Pokemon,PAL,169
Iron Hands ex,2,Pokemon,PAR,70
Miraidon ex,2,Pokemon,SVI,81
Raikou V,1,Pokemon,BRS,48
Fezandipiti ex,1,Pokemon,SFA,38
Arven,4,Supporter,,
Professor's Research,2,Supporter,,
Boss's Orders,2,Supporter,,
Iono,1,Supporter,,
Roxanne,1,Supporter,,
Electric Generator,4,Item,,
Deduction Kit,2,Item,,
Nest Ball,2,Item,,
Super Rod,2,Item,,
Ultra Ball,2,Item,,
Earthen Vessel,2,Item,,
Hisuian Heavy Ball,1,Item,,
Counter Catcher,1,Item,,
Night Stretcher,1,Item,,
Pokegear 3.0,1,Item,,
Secret Box - ACESPEC,1,Item,,
Future Booster Energy Capsule,2,Tool,,
Technical Machine: Evolution,1,Tool,,
Heavy Baton,1,Tool,,
Bravery Charm,1,Tool,,
Forest Seal Stone,1,Tool,,
Academy at Night,1,Stadium,,
Mist Energy,2,Energy,,
Basic Lightning Energy,9,Energy,,
Scream Tail,2,Pokemon,PAR,86
Gardevoir ex,2,Pokemon,SVI,86
Gardevoir ex,1,Pokemon,PAF,217
Kirlia,4,Pokemon,SIT,68
Ralts,3,Pokemon,ASR,60
Ralts,1,Pokemon,SIT,67
Flutter Mane,1,Pokemon,TEF,78
Drifloon,2,Pokemon,SVI,89
Mimikyu,1,Pokemon,PAF,37
Manaphy,1,Pokemon,BRS,41
Arven,2,Supporter,,
Eri,1,Supporter,,
Professor's Research,1,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Iono,4,Supporter,,
Boss's Orders,1,Supporter,,
Nest Ball,2,Item,,
Super Rod,2,Item,,
Trekking Shoes,2,Item,,
Hisuian Heavy Ball,1,Item,,
Ultra Ball,3,Item,,
Earthen Vessel,1,Item,,
Buddy-Buddy Poffin,3,Item,,
Luxurious Cape,1,Tool,,
Bravery Charm,1,Tool,,
Technical Machine: Evolution,2,Tool,,
Hero's Cape - ACESPEC,1,Tool,
Town Store,1,Stadium,,
Basic Psychic Energy,12,Energy,,
Raikou V,3,Pokemon,BRS,48
Fezandipiti ex,1,Pokemon,SFA,84
Latias ex,1,Pokemon,SSP,76
Pikachu ex,1,Pokemon,SSP,57
Pikachu ex,1,Pokemon,SSP,247
Radiant Greninja,1,Pokemon,ASR,46
Squawkabilly ex,1,Pokemon,PAL,169
Bloodmoon Ursaluna ex,1,Pokemon,TWM,141
Hoothoot,2,Pokemon,SCR,114
Noctowl,2,Pokemon,SCR,115
Penny,1,Supporter,,
Arven,3,Supporter,,
lono,2,Supporter,,
Bianca's Devotion,1,Supporter,,
Crispin,3,Supporter,,
Boss's Orders,2,Supporter,,
Earthen Vessel,3,Item,,
Counter Catcher,1,Item,,
Hisuian Heavy Ball,1,Item,,
Night Stretcher,2,Item,,
Buddy-Buddy Poffin,2,Item,,
Super Rod,2,Item,,
Ultra Ball,3,Item,,
Tera Orb,1,Item,,
Trekking Shoes,2,Itemm,
Nest Ball,3,Item,,
Powerglass,1,Tool,,
Bravery Charm,1,Tool,,
Sparkling Crystal - ACESPEC,1,Tool,,
Basic Metal Energy,3,Energy,,
Basic Grass Energy,3,Energy,,
Basic Lightning Energy,5,Energy,,
Dreepy,4,Pokemon,TWM,128
Drakloak,4,Pokemon,TWM,129
Dragapult,3,Pokemon,TWM,130
Iron Thorns ex,3,Pokemon,TWM,77
Iron Thorns ex,1,Pokemon,TWM,196
Toedscruel,1,Pokemon,PAR,17
Toedscool,1,Pokemon,SCR,17
Klefki,1,Pokemon,SVI,096
Radiant Alakazam,1,Pokemon,SIT,59
Arven,4,Supporter,,
Crispin,4,Supporter,,
Iono,2,Supporter,,
Boss's orders,2,Supporter,,
Professor Turo's Scenario,1,Supporter,,
Pokegear 3.0,4,Item,,
Ultra Ball,2,Item,,
Buddy-buddy Poffin,2,Item,,
Night Stretcher,2,Item,,
Rare Candy,1,Item,,
