Fezandipiti ex,1,Pokemon,SFA,38
Radiant Greninja,1,Pokemon,ASR,46
Archaludon ex,4,Pokemon,SSP,224
Iron Bundle,1,Pokemon,SVP,66
Lumineon V,1,Pokemon,BRS,40
Relicanth,1,Pokemon,TEF,84
Duraludon,4,Pokemon,PRE,69
Professor Turo's Scenario,2,Supporter,,
Thorton,1,Supporter,,
Professor's Research,4,Supporter,,
Boss's Orders,3,Supporter,,
Black Belt's Training,1,Supporter,,
Iono,2,Supporter,,
Pokegear 3.0,3,Item,,
Ultra Ball,4,Item,,
Earthen Vessel,3,Item,,
Scoop Up Cyclone - ACESPEC,1,Item,,
Nest Ball,4,Item,,
Night Stretcher,4,Item,,
Pal Pad,1,Item,,
Canceling Cologne,1,Item,,
Jamming Tower,4,Stadium,,
Basic Metal Energy,9,Energy,,
