Deck,Card Name,Quantity
Archaludon,Basic Metal Energy,9.6
Archaludon,Aven,4.0
Archaludon,Duraludon,4.0
Archaludon,Ultra Ball,4.0
Archaludon,Night Stretcher,3.8
Archaludon,Professor's Research,3.5
Archaludon,Archaludon ex,3.4
Archaludon,Nest Ball,3.4
Archaludon,Call Bell,3.0
Archaludon,Earthen Vessel,3.0
Archaludon,Iono,3.0
Archaludon,Trekking Shoes,3.0
Archaludon,Boss's Orders,2.8
Archaludon,Pokegear 3.0,2.2
Archaludon,Jamming Tower,2.0
Archaludon,Pokestop,2.0
Archaludon,Staryu,2.0
Archaludon,Technical Machine: Turbo Energize,2.0
Archaludon,Origin Forme Dialga V,1.6
Archaludon,Origin Forme Dialga VSTAR,1.6
Archaludon,Professor Turo's Scenario,1.6
Archaludon,Canceling Cologne,1.0
Archaludon,Counter Catcher,1.0
Archaludon,Fezandipiti ex,1.0
Archaludon,Hisuian Heavy Ball,1.0
Archaludon,Irida,1.0
Archaludon,Lumineon V,1.0
Archaludon,Pal Pad,1.0
Archaludon,Precious Trolley - ACESPEC,1.0
Archaludon,Radiant Greninja,1.0
Archaludon,Relicanth,1.0
Archaludon,Scoop Up Cyclone - ACESPEC,1.0
Archaludon,Scramble Switch - ACESPEC,1.0
Archaludon,Starmie,1.0
Archaludon,Switch,1.0
Archaludon,Thorton,1.0
Archaludon,Vitality Band,1.0
Ceruledge,Basic Fire Energy,11.0
Ceruledge,Night Stretcher,4.0
Ceruledge,Professor's Research,4.0
Ceruledge,Ultra Ball,4.0
Ceruledge,Basic Water Energy,3.0
Ceruledge,Carmine,3.0
Ceruledge,Ceruledge ex,3.0
Ceruledge,Earthen Vessel,3.0
Ceruledge,Jet Energy,3.0
Ceruledge,Nest Ball,3.0
Ceruledge,Mist Energy,2.0
Ceruledge,Charcadet,1.3333333333333333
Ceruledge,Academy at Night,1.0
Ceruledge,Boss's Orders,1.0
Ceruledge,Briar,1.0
Ceruledge,Buddy-Buddy Poffin,1.0
Ceruledge,Counter Catcher,1.0
Ceruledge,Fan Rotom,1.0
Ceruledge,Fezandipiti ex,1.0
Ceruledge,Jamming Tower,1.0
Ceruledge,Legacy Energy - ACESPEC,1.0
Ceruledge,Manaphy,1.0
Ceruledge,Pal Pad,1.0
Ceruledge,Radiant Greninja,1.0
Ceruledge,Squawkabilly ex,1.0
Charizard,Basic Fire Energy,5.8
Charizard,Arven,4.0
Charizard,Buddy-Buddy Poffin,4.0
Charizard,Charmader,4.0
Charizard,Rare Candy,3.8
Charizard,Ultra Ball,3.8
Charizard,Charmander,3.6666666666666665
Charizard,Charizard ex,3.0
Charizard,Iono,3.0
Charizard,Nest Ball,3.0
Charizard,Artazon,2.0
Charizard,Boss's Orders,2.0
Charizard,Charmeleon,2.0
Charizard,Pidgeot ex,2.0
Charizard,Pidgeotto,2.0
Charizard,Pidgey,2.0
Charizard,Professor's Research,2.0
Charizard,Duskull,1.8
Charizard,Super Rod,1.8
Charizard,Bibarel,1.0
Charizard,Bidoof,1.0
Charizard,Briar,1.0
Charizard,Canceling Cologne,1.0
Charizard,Counter Catcher,1.0
Charizard,Defiance Band,1.0
