Date,Card Name,Quantity,Total Decks,Average In Deck
2024-12-12,Ultra Ball,60,20,3.0
2024-12-12,Nest Ball,53,20,2.65
2024-12-12,Buddy-Buddy Poffin,42,20,2.1
2024-12-12,Basic Grass Energy,39,20,1.95
2024-12-12,Rare Candy,37,20,1.85
2024-12-12,Boss's Orders,36,20,1.8
2024-12-12,Arven,34,20,1.7
2024-12-12,Earthen Vessel,32,20,1.6
2024-12-12,Basic Fire Energy,30,20,1.5
2024-12-12,Iono,29,20,1.45
2024-12-12,Professor's Research,28,20,1.4
2024-12-12,Basic Metal Energy,23,20,1.15
2024-12-12,Night Stretcher,23,20,1.15
2024-12-12,Basic Psychic Energy,20,20,1.0
2024-12-12,Super Rod,20,20,1.0
2024-12-12,Counter Catcher,17,20,0.85
2024-12-12,Switch,17,20,0.85
2024-12-12,Basic Water Energy,15,20,0.75
2024-12-12,Double Turbo Energy,15,20,0.75
2024-12-12,Energy Switch,13,20,0.65
2024-12-12,Teal Mask Ogerpon ex,13,20,0.65
2024-12-12,Dreepy,12,20,0.6
2024-12-12,Fezandipiti ex,12,20,0.6
2024-12-12,Pokegear 3.0,11,20,0.55
2024-12-12,Basic Lightning Energy,10,20,0.5
2024-12-12,Crispin,10,20,0.5
2024-12-12,Drakloak,10,20,0.5
2024-12-12,Duskull,10,20,0.5
2024-12-12,Dusknoir,9,20,0.45
2024-12-12,Pokestop,9,20,0.45
2024-12-12,Professor Turo's Scenario,9,20,0.45
2024-12-12,Regidrago V,9,20,0.45
2024-12-12,Regidrago VSTAR,9,20,0.45
2024-12-12,Canceling Cologne,8,20,0.4
2024-12-12,Dragapult ex,8,20,0.4
2024-12-12,Duraludon,8,20,0.4
2024-12-12,Hoothoot,8,20,0.4
2024-12-12,Irida,8,20,0.4
2024-12-12,Lost Vacuum,8,20,0.4
2024-12-12,Noctowl,8,20,0.4
2024-12-12,Dudunsparce,7,20,0.35
2024-12-12,Dunsparce,7,20,0.35
2024-12-12,Hisuian Heavy Ball,7,20,0.35
2024-12-12,Lumineon V,7,20,0.35
2024-12-12,Prime Catcher - ACESPEC,7,20,0.35
2024-12-12,Radiant Greninja,7,20,0.35
2024-12-12,Archaludon ex,6,20,0.3
2024-12-12,Energy Retrieval,6,20,0.3
2024-12-12,Manaphy,6,20,0.3
2024-12-12,Pidgeot ex,6,20,0.3
2024-12-12,Pidgey,6,20,0.3
2024-12-12,Rescue Board,6,20,0.3
2024-12-12,Squawkabilly ex,6,20,0.3
2024-12-12,Trekking Shoes,6,20,0.3
2024-12-12,Basic Dark Energy,5,20,0.25
2024-12-12,Charizard ex,5,20,0.25
2024-12-12,Forest Seal Stone,5,20,0.25
2024-12-12,Reversal Energy,5,20,0.25
2024-12-12,Superior Energy Retrieval,5,20,0.25
2024-12-12,Switch Cart,5,20,0.25
2024-12-12,Technical Machine: Evolution,5,20,0.25
2024-12-12,Archeops,4,20,0.2
2024-12-12,Area Zero Underdepths,4,20,0.2
2024-12-12,Artazon,4,20,0.2
2024-12-12,Aven,4,20,0.2
2024-12-12,Bloodmoon Ursaluna ex,4,20,0.2
2024-12-12,Charmader,4,20,0.2
2024-12-12,Colress's Experiment,4,20,0.2
2024-12-12,Comfey,4,20,0.2
2024-12-12,Dartrix,4,20,0.2
2024-12-12,Dusclops,4,20,0.2
2024-12-12,Flamigo,4,20,0.2
2024-12-12,Gift Energy,4,20,0.2
2024-12-12,Iron Thorns ex,4,20,0.2
2024-12-12,Jet Energy,4,20,0.2
2024-12-12,Kirlia,4,20,0.2
2024-12-12,Kyurem,4,20,0.2
2024-12-12,Mirage Gate,4,20,0.2
2024-12-12,Murkrow,4,20,0.2
2024-12-12,Nemona,4,20,0.2
2024-12-12,Pal Pad,4,20,0.2
2024-12-12,Professor Sada's Vitality,4,20,0.2
2024-12-12,Radiant Charizard,4,20,0.2
2024-12-12,Ralts,4,20,0.2
2024-12-12,Rotom V,4,20,0.2
2024-12-12,Temple of Sinnoh,4,20,0.2
2024-12-12,Tinkatink,4,20,0.2
2024-12-12,Wattrel,4,20,0.2
2024-12-12,Basic Fighting Energy,3,20,0.15
2024-12-12,Bibarel,3,20,0.15
2024-12-12,Bidoof,3,20,0.15
2024-12-12,Bravery Charm,3,20,0.15
2024-12-12,Call Bell,3,20,0.15
2024-12-12,Cinccino,3,20,0.15
2024-12-12,Cleffa,3,20,0.15
2024-12-12,Defiance Band,3,20,0.15
2024-12-12,Frigibax,3,20,0.15
2024-12-12,Giratina VSTAR,3,20,0.15
2024-12-12,Jamming Tower,3,20,0.15
2024-12-12,Lugia V,3,20,0.15
2024-12-12,Lugia VSTAR,3,20,0.15
2024-12-12,Meowscarada ex,3,20,0.15
2024-12-12,Mew ex,3,20,0.15
2024-12-12,Minccino,3,20,0.15
2024-12-12,Mist Energy,3,20,0.15
2024-12-12,Origin Forme Dialga V,3,20,0.15
2024-12-12,Origin Forme Dialga VSTAR,3,20,0.15
2024-12-12,Pikachu ex,3,20,0.15
2024-12-12,Pokemon Catcher,3,20,0.15
2024-12-12,Radiant Alakazam,3,20,0.15
2024-12-12,Raging Bolt ex,3,20,0.15
2024-12-12,Roxanne,3,20,0.15
2024-12-12,Sparkling Crystal - ACESPEC,3,20,0.15
2024-12-12,Sprigatito,3,20,0.15
2024-12-12,Tatsugiri,3,20,0.15
2024-12-12,Tera Orb,3,20,0.15
2024-12-12,Alolan Exeggutor ex,2,20,0.1
2024-12-12,Baxcalibur,2,20,0.1
2024-12-12,Briar,2,20,0.1
2024-12-12,Brilliant Blender - ACESPEC,2,20,0.1
2024-12-12,Charmander,2,20,0.1
2024-12-12,Charmeleon,2,20,0.1
2024-12-12,Chien-Pao ex,2,20,0.1
2024-12-12,Collapsed Stadium,2,20,0.1
2024-12-12,Crobat,2,20,0.1
2024-12-12,Ditto,2,20,0.1
2024-12-12,Dragapult,2,20,0.1
2024-12-12,Fan Rotom,2,20,0.1
2024-12-12,Floragato,2,20,0.1
2024-12-12,Froakie,2,20,0.1
2024-12-12,Gardevoir ex,2,20,0.1
2024-12-12,Greninja ex,2,20,0.1
2024-12-12,Hisuian Goodra VSTAR,2,20,0.1
2024-12-12,Jacq,2,20,0.1
2024-12-12,Luxray,2,20,0.1
2024-12-12,Morty's Conviction,2,20,0.1
2024-12-12,Precious Trolley - ACESPEC,2,20,0.1
2024-12-12,Relicanth,2,20,0.1
2024-12-12,Rowlet,2,20,0.1
2024-12-12,Staryu,2,20,0.1
2024-12-12,Technical Machine: Turbo Energize,2,20,0.1
2024-12-12,Terapagos ex,2,20,0.1
2024-12-12,Thorton,2,20,0.1
2024-12-12,Tinkaton ex,2,20,0.1
2024-12-12,Vitality Band,2,20,0.1
2024-12-12,Zubat,2,20,0.1
2024-12-12,Ancient Booster Energy Capsule,1,20,0.05
2024-12-12,Bianca's Devotion,1,20,0.05
2024-12-12,Ciphermaniac's Codebreaking,1,20,0.05
2024-12-12,Cramorant,1,20,0.05
2024-12-12,Dragonite,1,20,0.05
2024-12-12,Dragpult ex,1,20,0.05
2024-12-12,Drifloon,1,20,0.05
2024-12-12,Energy Search,1,20,0.05
2024-12-12,Entei V,1,20,0.05
2024-12-12,Feather Ball,1,20,0.05
2024-12-12,Flutter Mane,1,20,0.05
2024-12-12,Future Booster Energy Capsule,1,20,0.05
2024-12-12,Genesect,1,20,0.05
2024-12-12,Grand Tree - ACESPEC,1,20,0.05
2024-12-12,Great Ball,1,20,0.05
2024-12-12,Hawlucha,1,20,0.05
2024-12-12,Haxorus,1,20,0.05
2024-12-12,Hisuian heavy Ball,1,20,0.05
2024-12-12,Hyper Aroma - ACESPEC,1,20,0.05
2024-12-12,Iron Bundle,1,20,0.05
2024-12-12,Iron Hands ex,1,20,0.05
2024-12-12,Kieran,1,20,0.05
2024-12-12,Klefki,1,20,0.05
2024-12-12,Kyogre,1,20,0.05
2024-12-12,Lucky Helmet,1,20,0.05
2024-12-12,Maximum Belt - ACESPEC,1,20,0.05
2024-12-12,Meddling Memo,1,20,0.05
2024-12-12,Mela,1,20,0.05
2024-12-12,Miracle Headset - ACESPEC,1,20,0.05
2024-12-12,Miriam,1,20,0.05
2024-12-12,Nemona's Backpack,1,20,0.05
2024-12-12,Noivern ex,1,20,0.05
2024-12-12,Pokemon League Headquarters,1,20,0.05
2024-12-12,Powerglass,1,20,0.05
2024-12-12,Sableye,1,20,0.05
2024-12-12,Scramble Switch - ACESPEC,1,20,0.05
2024-12-12,Scream Tail,1,20,0.05
2024-12-12,Secret Box - ACESPEC,1,20,0.05
2024-12-12,Serena,1,20,0.05
2024-12-12,Starmie,1,20,0.05
2024-12-12,Technical Machine: Devolution,1,20,0.05
2024-12-12,Tinkaton,1,20,0.05
2024-12-12,Tinkatuff,1,20,0.05
2024-12-12,Toedscool,1,20,0.05
2024-12-12,Toedscrul,1,20,0.05
2024-12-12,V-Guard Energy,1,20,0.05
2024-12-12,Wyrdeer V,1,20,0.05
2024-12-12,Xerosic's Machinations,1,20,0.05
2025-01-09,Arven,50,20,2.5
2025-01-09,Basic Psychic Energy,50,20,2.5
2025-01-09,Ultra Ball,44,20,2.2
2025-01-09,Iono,41,20,2.05
2025-01-09,Basic Fire Energy,40,20,2.0
2025-01-09,Buddy-Buddy Poffin,39,20,1.95
2025-01-09,Nest Ball,35,20,1.75
2025-01-09,Boss's Orders,34,20,1.7
2025-01-09,Basic Water Energy,28,20,1.4
2025-01-09,Basic Lightning Energy,27,20,1.35
2025-01-09,Earthen Vessel,26,20,1.3
2025-01-09,Super Rod,25,20,1.25
2025-01-09,Crispin,21,20,1.05
2025-01-09,Night Stretcher,21,20,1.05
2025-01-09,Rare Candy,18,20,0.9
2025-01-09,Counter Catcher,17,20,0.85
2025-01-09,Technical Machine: Evolution,17,20,0.85
2025-01-09,Basic Fighting Energy,16,20,0.8
2025-01-09,Drakloak,16,20,0.8
2025-01-09,Dreepy,16,20,0.8
2025-01-09,Kirlia,16,20,0.8
2025-01-09,Pokegear 3.0,16,20,0.8
2025-01-09,Professor's Research,16,20,0.8
2025-01-09,Ralts,16,20,0.8
2025-01-09,Basic Metal Energy,15,20,0.75
2025-01-09,Iron Thorns ex,15,20,0.75
2025-01-09,Professor Turo's Scenario,15,20,0.75
2025-01-09,Switch,13,20,0.65
2025-01-09,Basic Darkness Energy,10,20,0.5
2025-01-09,Bravery Charm,10,20,0.5
2025-01-09,Double Turbo Energy,10,20,0.5
